"outcome","pred_form","copredictor","estimator","sample","weights","estimate","se","statistic","df","n","r","conf_low","conf_high","positive_outcome","sig","supports_claim","baseline"
"mcosmo","raw","none","fe_twoway","all","none",-0.00347298532133785,0.000913049241965656,-3.80372181664709,233,270,-0.241795915508855,-0.00527187274560227,-0.00167409789707343,TRUE,TRUE,TRUE,TRUE
"mcosmo","raw","none","fe_twoway","all","n_cy",-0.00263198653882703,0.000865789971169866,-3.03998270535597,233,270,-0.195320057732152,-0.0043377638612404,-0.000926209216413676,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_twoway","y2004_2008","none",-0.00685632228103366,0.00206101918602657,-3.32666591728916,103,135,-0.311479693287982,-0.0109438677343704,-0.00276877682769698,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_twoway","y2004_2008","n_cy",-0.00579221008373617,0.00196550564130873,-2.94693129442225,103,135,-0.278851988064307,-0.00969032694849375,-0.0018940932189786,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_twoway","y2009_2013","none",-0.00596195769651928,0.00113081609637085,-5.27226108264033,103,135,-0.460997376291117,-0.00820466471478428,-0.00371925067825429,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_twoway","y2009_2013","n_cy",-0.00496908993246153,0.00112460513171213,-4.418519702908,103,135,-0.399178759501356,-0.00719947896721444,-0.00273870089770861,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_twoway","no_bailout","none",0.00193819950650146,0.00140184374403712,1.38260738027742,161,190,0.108323544437672,-0.000830172862594666,0.00470657187559759,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","fe_twoway","no_bailout","n_cy",0.00218394230273701,0.00132123894129255,1.65295029875556,161,190,0.129179228776318,-0.00042525104966509,0.00479313565513911,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","fe_twoway","no_GR_ES","none",-0.00181067467924072,0.00112240896913616,-1.61320403616719,215,250,-0.109359730727014,-0.00402300911662118,0.000401659758139747,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","fe_twoway","no_GR_ES","n_cy",-0.000396174362278718,0.0010445852965083,-0.379264731758137,215,250,-0.0258569918993196,-0.00245511373980809,0.00166276501525066,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","fe_country","all","none",-0.00564494113650914,0.000821797971198258,-6.86901322995272,242,270,-0.403931494200778,-0.00726373121737726,-0.00402615105564101,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_country","all","n_cy",-0.00480784646175823,0.000787542411329783,-6.10487307425143,242,270,-0.365312812636264,-0.00635915942236915,-0.00325653350114731,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_country","y2004_2008","none",-0.00965119895962002,0.00170944502528578,-5.64580832776797,107,135,-0.479086415774325,-0.0130399743499761,-0.00626242356926391,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_country","y2004_2008","n_cy",-0.00858153880984302,0.00164610237859947,-5.21324731766944,107,135,-0.450057243778836,-0.0118447447907853,-0.00531833282890076,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_country","y2009_2013","none",-0.00848954792731053,0.00127833553841427,-6.64109513675999,107,135,-0.540258381750928,-0.0110236990401676,-0.00595539681445348,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_country","y2009_2013","n_cy",-0.00701826294648301,0.00130698964771682,-5.36979229999504,107,135,-0.460736026838057,-0.00960921748910862,-0.0044273084038574,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_country","no_bailout","none",-0.00205098378542486,0.00134418074205857,-1.52582440831866,170,190,-0.116232199856969,-0.00470441902832429,0.000602451457474555,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","fe_country","no_bailout","n_cy",-0.00156988058531672,0.00126880280550637,-1.23729280744315,170,190,-0.0944716092757511,-0.00407451852207534,0.000934757351441901,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","fe_country","no_GR_ES","none",-0.00450021475303364,0.00102608337870538,-4.38581780626015,224,250,-0.281214168181522,-0.00652222590611542,-0.00247820359995187,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","fe_country","no_GR_ES","n_cy",-0.00313153435063207,0.00097145442994639,-3.22355249417607,224,250,-0.210554249834063,-0.00504589309849587,-0.00121717560276827,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","re","all","none",-0.00525043801639775,0.000812121060807304,-6.46509279192742,268,270,-0.367312629271566,-0.00684938676837926,-0.00365148926441624,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","re","y2004_2008","none",-0.00724474201467167,0.00167056743048258,-4.33669535421198,133,135,-0.351976056190418,-0.0105490596813464,-0.00394042434799693,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","re","y2009_2013","none",-0.00732821284756865,0.00121542219845134,-6.02935577193343,133,135,-0.46331279682142,-0.00973227087571499,-0.00492415481942232,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","re","no_bailout","none",-0.0013452140064871,0.00132721225486997,-1.0135635815229,188,190,-0.0737205758838483,-0.00396335610654036,0.00127292809356616,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","re","no_GR_ES","none",-0.0040387534532215,0.00101586158081494,-3.97569268244352,248,250,-0.24477686210224,-0.00603956969024874,-0.00203793721619426,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","pooled_cl","all","none",-0.00109756688838125,0.00219532750977191,-0.499955876057548,268,270,-0.0305254340115491,-0.00541984881325963,0.00322471503649713,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","pooled_cl","all","n_cy",0.000173297579338261,0.0023844440716123,0.0726783997164927,268,270,0.00443949610509466,-0.00452132746669147,0.00486792262536799,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","y2004_2008","none",0.0028031290863793,0.0032137585413226,0.872227658156824,133,135,0.0754163406709394,-0.00355356082074494,0.00915981899350356,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","y2004_2008","n_cy",0.00389391539118511,0.00343187942456394,1.13463059433677,133,135,0.0979122157591782,-0.00289420917389655,0.0106820399562668,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","y2009_2013","none",-0.00133222152877562,0.00251955302127617,-0.528753123084049,133,135,-0.0458005969012804,-0.00631579980787664,0.00365135675032538,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","pooled_cl","y2009_2013","n_cy",0.000175610123395259,0.00274842598133293,0.0638947981819366,133,135,0.00554029661908305,-0.00526067000511342,0.00561189025190394,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","no_bailout","none",0.00597275046312717,0.00315336154151127,1.89408996859418,188,190,0.136841218194676,-0.00024776820540209,0.0121932691316564,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","no_bailout","n_cy",0.00739082806154745,0.00314298507224555,2.35153139186466,188,190,0.169035128923551,0.00119077866681729,0.0135908774562776,TRUE,TRUE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","no_GR_ES","none",0.00115780907692042,0.00292303802121869,0.396097850426764,248,250,0.0251442863327148,-0.0045993354442953,0.00691495359813615,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","no_GR_ES","n_cy",0.00297345830549261,0.00290201594012866,1.0246181850265,248,250,0.0649260413278751,-0.00274228163661964,0.00868919824760487,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","fe_twoway","all","none",-0.003560929397102,0.000983458981985486,-3.62082147026906,232,270,-0.231273721305104,-0.0054985815259439,-0.00162327726826009,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","all","n_cy",-0.00269722930974059,0.000923804371307163,-2.91969749604462,232,270,-0.188260009667028,-0.00451734742293629,-0.000877111196544901,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","y2004_2008","none",-0.008076383226124,0.00210652492883458,-3.83398416775072,102,135,-0.354908122805409,-0.0122546654345119,-0.0038981010177361,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","y2004_2008","n_cy",-0.00726777934364099,0.00197037454516508,-3.68852681408959,102,135,-0.34305535568367,-0.0111760079115689,-0.00335955077571305,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","y2009_2013","none",-0.00502938885627265,0.00119369672109404,-4.21328865816363,102,135,-0.385017249217701,-0.00739708064272474,-0.00266169706982055,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","y2009_2013","n_cy",-0.00416517808383234,0.00116225763940309,-3.58369602627131,102,135,-0.334409905304576,-0.00647051060081686,-0.00185984556684782,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","no_bailout","none",0.00090332675295698,0.00145760752059764,0.619732500135975,160,190,0.0489354582098635,-0.0019753046133402,0.00378195811925416,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","fe_twoway","no_bailout","n_cy",0.00127360971876974,0.00136174726714594,0.935276133462765,160,190,0.0737387754407947,-0.00141570708344359,0.00396292652098307,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","fe_twoway","no_GR_ES","none",-0.00219015321152816,0.00121160402574928,-1.80764768437752,214,250,-0.122635530892104,-0.00457835954651153,0.00019805312345521,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","no_GR_ES","n_cy",-0.00075502511688159,0.00110362684647038,-0.68413079955087,214,250,-0.0467151617034057,-0.0029303964182177,0.00142034618445453,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","all","none",-0.00619353553818512,0.000884375900794102,-7.00328393460723,241,270,-0.411214390696596,-0.00793562890063466,-0.00445144217573559,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","all","n_cy",-0.00513168258607803,0.000839481471607254,-6.11291941471087,241,270,-0.366386265115097,-0.00678534037828289,-0.00347802479387316,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","y2004_2008","none",-0.00977224947271801,0.0017042879323637,-5.73391930268772,106,135,-0.486558556861716,-0.0131511660606823,-0.00639333288475374,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","y2004_2008","n_cy",-0.00848753702372453,0.00162228520829025,-5.23184023398059,106,135,-0.453024712711383,-0.0117038752354835,-0.0052711988119656,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","y2009_2013","none",-0.00866555783978087,0.0012568899592327,-6.89444431958938,106,135,-0.556413793812228,-0.0111574644312962,-0.00617365124826555,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","y2009_2013","n_cy",-0.00718333133201646,0.0013011392974121,-5.52080115196251,106,135,-0.472572884409649,-0.0097629665402412,-0.00460369612379173,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","no_bailout","none",-0.00280477576395747,0.0013553979173349,-2.06933751932602,169,190,-0.157200675683411,-0.00548046739897195,-0.000129084128942991,TRUE,TRUE,TRUE,FALSE
